task,method,seed,metric,value
PCP,graph,1101,parameters_communication_total,16416.0
PCP,graph,1101,parameters_communication_trainable,16416.0
PCP,graph,1101,parameters_critic_total,19778.0
PCP,graph,1101,parameters_critic_trainable,19778.0
PCP,graph,1101,parameters_group/adversary/actor_total,35748.0
PCP,graph,1101,parameters_group/adversary/actor_trainable,35748.0
PCP,graph,1101,parameters_group/adversary/communication_total,16416.0
PCP,graph,1101,parameters_group/adversary/communication_trainable,16416.0
PCP,graph,1101,parameters_group/adversary/critic_total,19585.0
PCP,graph,1101,parameters_group/adversary/critic_trainable,19585.0
PCP,graph,1101,parameters_group/agent/actor_total,156.0
PCP,graph,1101,parameters_group/agent/actor_trainable,156.0
PCP,graph,1101,parameters_group/agent/communication_total,0.0
PCP,graph,1101,parameters_group/agent/communication_trainable,0.0
PCP,graph,1101,parameters_group/agent/critic_total,193.0
PCP,graph,1101,parameters_group/agent/critic_trainable,193.0
PCP,graph,1102,parameters_actor_total,35904.0
PCP,graph,1102,parameters_actor_trainable,35904.0
PCP,graph,1102,parameters_communication_total,16416.0
PCP,graph,1102,parameters_communication_trainable,16416.0
PCP,graph,1102,parameters_critic_total,19778.0
PCP,graph,1102,parameters_critic_trainable,19778.0
PCP,graph,1102,parameters_group/adversary/actor_total,35748.0
PCP,graph,1102,parameters_group/adversary/actor_trainable,35748.0
PCP,graph,1102,parameters_group/adversary/communication_total,16416.0
PCP,graph,1102,parameters_group/adversary/communication_trainable,16416.0
PCP,graph,1102,parameters_group/adversary/critic_total,19585.0
PCP,graph,1102,parameters_group/adversary/critic_trainable,19585.0
PCP,graph,1102,parameters_group/agent/actor_total,156.0
PCP,graph,1102,parameters_group/agent/actor_trainable,156.0
PCP,graph,1102,parameters_group/agent/communication_total,0.0
PCP,graph,1102,parameters_group/agent/communication_trainable,0.0
PCP,graph,1102,parameters_group/agent/critic_total,193.0
PCP,graph,1102,parameters_group/agent/critic_trainable,193.0
PCP,graph,1103,parameters_actor_total,35904.0
PCP,graph,1103,parameters_actor_trainable,35904.0
PCP,graph,1103,parameters_communication_total,16416.0
PCP,graph,1103,parameters_communication_trainable,16416.0
