metric,mapdn/action_solver_failure,mapdn/action_solver_failure,mapdn/advance_solver_failure,mapdn/advance_solver_failure,mapdn/average_voltage,mapdn/average_voltage,mapdn/average_voltage_deviation,mapdn/average_voltage_deviation,mapdn/bus_transition_count,mapdn/bus_transition_count,mapdn/destroy,mapdn/destroy,mapdn/feasible_step,mapdn/feasible_step,mapdn/max_voltage_drop_deviation,mapdn/max_voltage_drop_deviation,mapdn/max_voltage_rise_deviation,mapdn/max_voltage_rise_deviation,mapdn/percentage_of_higher_than_upper_v,mapdn/percentage_of_higher_than_upper_v,mapdn/percentage_of_lower_than_lower_v,mapdn/percentage_of_lower_than_lower_v,mapdn/percentage_of_v_out_of_control,mapdn/percentage_of_v_out_of_control,mapdn/pv_curtailed_mw,mapdn/pv_curtailed_mw,mapdn/q_loss,mapdn/q_loss,mapdn/reward,mapdn/reward,mapdn/solver_failure_count,mapdn/solver_failure_count,mapdn/total_line_loss,mapdn/total_line_loss,mapdn/totally_controllable_ratio,mapdn/totally_controllable_ratio,mapdn/transitions,mapdn/transitions,mapdn/violated_bus_transition_count,mapdn/violated_bus_transition_count,mapdn/voltage_bus_count,mapdn/voltage_bus_count,mapdn/voltage_metrics_valid,mapdn/voltage_metrics_valid,mapdn/voltage_observed_transitions,mapdn/voltage_observed_transitions,mapdn/voltage_violating_bus_count,mapdn/voltage_violating_bus_count,mapdn/voltage_violation_magnitude,mapdn/voltage_violation_magnitude
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attention,0.0,0.0,0.0,0.0,0.9913044969240824,0.004922103875950968,0.014992899261414968,0.0016404968103999578,126192.0,0.0,0.0,0.0,1.0,0.0,0.00023958217692169413,0.00020161097774812388,0.0030803747455744,0.0025623394130615245,0.0142824695600817,0.011392017475151695,0.005922193173319033,0.004273366473093035,0.0202046626557906,0.007396236395767146,0.0,0.0,0.22001913189887998,0.06866390222519057,-0.036994812389214794,0.005904957028652076,0.0,0.0,0.08249137798945104,0.030007798681982507,0.8570432464281718,0.04210684294722857,3824.0,0.0,2549.6666666666665,933.3457737266148,33.0,0.0,1.0,0.0,3824.0,0.0,0.6667538285255432,0.24407578172531916,0.00043119550052020454,0.00035419227876450895
broadcast,0.0,0.0,0.0,0.0,0.9890163938204447,0.006481895893188717,0.0169615056365728,0.002710931045820456,126192.0,0.0,0.0,0.0,1.0,0.0,0.00011572060369264366,6.857666450084385e-05,0.0030882963910698336,0.0021526232793879535,0.014607370675851833,0.009019961830264461,0.004184100311249467,0.001001241865941304,0.018791471918423935,0.008881010872754877,0.0,0.0,0.19027066479126611,0.10733387539570949,-0.0359885729849338,0.008039308580887743,0.0,0.0,0.07287589833140366,0.036947993446987,0.8727336128552755,0.05794140022440181,3824.0,0.0,2371.3333333333335,1120.712422226743,33.0,0.0,1.0,0.0,3824.0,0.0,0.6201185385386149,0.29307331214859633,0.0004123863206283357,0.0003006697851636269
gated,0.0,0.0,0.0,0.0,0.9881575703620911,0.007832313266051587,0.017758377827703866,0.003932134195545114,126192.0,0.0,0.0,0.0,1.0,0.0,0.0011246871799812325,0.0016757987645209208,0.0028776335529982332,0.0018275899353186408,0.014163602764407734,0.008049298211374819,0.018160158457855333,0.023270163192869005,0.03232375967005883,0.015242213670425891,0.0,0.0,0.2027977456649144,0.08741577360009072,-0.03803815195957813,0.005283645110888906,0.0,0.0,0.08259204526742293,0.02634165560402564,0.7576708594957987,0.14653087531719405,3824.0,0.0,4079.0,1923.4456061973783,33.0,0.0,1.0,0.0,3824.0,0.0,1.066684106985728,0.5029930990554747,0.00047677854308853337,0.00012251170048192933
graph,0.0,0.0,0.0,0.0,0.9905168811480204,0.0037939902915795584,0.015534688408176033,0.0032680874155781342,126192.0,0.0,0.0,0.0,1.0,0.0,0.0004986841328596666,0.0005418420601374195,0.0031171705328839738,0.0030528979674305837,0.013830776927837433,0.012866732589135382,0.010021766337255567,0.007330226092828915,0.023852542042732166,0.008732887409470197,0.0,0.0,0.21110384166240684,0.08186500391525475,-0.036645074685414565,0.004919213595806672,0.0,0.0,0.0785054874916871,0.015912785012489012,0.8331590096155802,0.021575447429406817,3824.0,0.0,3010.0,1102.020417233728,33.0,0.0,1.0,0.0,3824.0,0.0,0.7871339122454325,0.28818528569228286,0.0004850079033834,0.0004408452435243796
identity,0.0,0.0,0.0,0.0,0.9872549772262573,0.007453039492882393,0.017947784314552902,0.004105430640529599,126192.0,0.0,0.0,0.0,1.0,0.0,0.0006876895980288334,0.00033753917413616673,0.0027600978307114996,0.002192538634042238,0.012797958644417365,0.009776746073476613,0.015222836596270365,0.0087168338714074,0.028020795434713336,0.0019343402994015078,0.0,0.0,0.17778890579938886,0.11594153731820764,-0.035726674521962765,0.008412901070737513,0.0,0.0,0.0772215922673543,0.019753653876428776,0.8165097633997599,0.014876795553329004,3824.0,0.0,3536.0,244.09834083827772,33.0,0.0,1.0,0.0,3824.0,0.0,0.9246861934661865,0.06383323436710084,0.00044366882745326664,0.0002759514361809563
