task,method,reference,n,mean_difference,paired_seed_sd,ci95_low,ci95_high,seeds_with_positive_difference
MAPDN,broadcast,identity,3,-0.06259378790855408,0.8360713722111973,-2.1395102133332364,2.0143226375161283,2
MAPDN,gated,identity,3,-0.5524431268374131,0.7478941624851544,-2.4103152202647142,1.3054289665898877,1
MAPDN,attention,identity,3,-0.3030853867530823,0.7789217056320364,-2.2380341702145135,1.631863396708349,1
MAPDN,graph,identity,3,-0.21949746211369833,1.300605900254695,-3.4503816270613745,3.0113867028339776,1
PCP,broadcast,identity,5,175.484375,481.87837362530956,-422.84665304352916,773.8154030435292,3
PCP,gated,identity,5,-6.53125,264.21394857220764,-334.5961977653711,321.5336977653711,2
PCP,attention,identity,5,-20.984375,304.34868280894375,-398.8831773446023,356.9144273446023,2
PCP,graph,identity,5,-0.75,433.95596708890906,-539.5775011399959,538.0775011399959,2
