method,return__mean,return__std,any_contact__mean,any_contact__std,contact_by_50__mean,contact_by_50__std,contact_duration_steps__mean,contact_duration_steps__std,contact_pair_steps__mean,contact_pair_steps__std,first_contact_step_or_horizon__mean,first_contact_step_or_horizon__std,simultaneous_contact_steps__mean,simultaneous_contact_steps__std,any_simultaneous_contact__mean,any_simultaneous_contact__std,sender_visible_receiver_blind_pairs_mean__mean,sender_visible_receiver_blind_pairs_mean__std,prey_visible_to_0_predators_mean__mean,prey_visible_to_0_predators_mean__std,prey_visible_to_1_predators_mean__mean,prey_visible_to_1_predators_mean__std,prey_visible_to_2_predators_mean__mean,prey_visible_to_2_predators_mean__std,prey_visible_to_3_predators_mean__mean,prey_visible_to_3_predators_mean__std,predator_boundary_fraction__mean,predator_boundary_fraction__std,prey_boundary_fraction__mean,prey_boundary_fraction__std,reward_accounting_max_abs_error__mean,reward_accounting_max_abs_error__std
attention,163.28125,221.475191332972,0.4734375,0.42015709255214884,0.459375,0.4117491390587538,13.384375,18.0299597743004,16.328125,22.1475191332972,59.9125,35.81331268506888,2.859375,3.9899470841572575,0.2609375,0.358167127757769,0.9829687500000001,0.15842228261487162,0.23335937499999998,0.15586287981648322,0.24420312500000002,0.03373812544286416,0.24728124999999998,0.05667483880449616,0.27515625,0.0975808615258792,0.4805468822903931,0.1465967997519467,0.1665625,0.196544473910129,0.0,0.0
broadcast,359.75,344.23147389102513,0.6203125,0.36899488690563176,0.6046875,0.3715909498149477,25.0125,22.623758085951163,35.975,34.42314738910251,47.54375,32.489599635462675,9.6421875,10.598603469694131,0.43125,0.38159084405371285,0.740375,0.28727297847196875,0.22753125000000002,0.15510561980759574,0.1723125,0.060703190355498926,0.197875,0.08512634581007553,0.40228125000000003,0.21790096392197303,0.49772917351080104,0.11917639647358105,0.27165625000000004,0.23231026994826875,0.0,0.0
gated,177.734375,221.81749915118849,0.5359375,0.3755936056972016,0.521875,0.3672872205015443,14.0515625,17.53112344679144,17.7734375,22.181749915118846,54.9890625,32.41313163356669,3.65625,4.563934518703749,0.3,0.3873140935097121,0.99446875,0.12959605209554032,0.209375,0.14358094466501617,0.23015624999999998,0.044909814957224965,0.267078125,0.037567915388021796,0.29339062499999996,0.12740850539149162,0.47302604864630843,0.12373946314764224,0.16224999999999998,0.16495217664842948,0.0,0.0
graph,183.515625,236.8643516220538,0.540625,0.3628988242480609,0.5234375,0.35805634431346833,14.528125,18.42930548168078,18.3515625,23.68643516220538,54.1,31.91701112831893,3.6765625,5.117108778020431,0.29375,0.38127881550939857,0.9371875,0.17117003864259145,0.165609375,0.07735302974633573,0.219328125,0.0476329861250321,0.249265625,0.0475212804407306,0.365796875,0.13007682760238876,0.4536510490835644,0.1119999376435369,0.16664062500000001,0.17414014307077774,0.0,0.0
identity,184.265625,241.67560317079742,0.5515625,0.3429767581639097,0.540625,0.348484792194186,14.9734375,19.263842552378083,18.4265625,24.167560317079744,53.1859375,31.073566097404488,3.1625,4.580495466726621,0.2953125,0.3902889179225116,0.9545312499999999,0.11869056900982064,0.193765625,0.14019042443240928,0.20920312500000002,0.007897274425988704,0.2680625,0.06712586653450227,0.32896875,0.09344281378598455,0.4555885486328043,0.1682869366735533,0.154609375,0.1626218368375116,0.0,0.0
