frames,method,mean,std,completed_seeds,expected_seeds
132000,gated,0.18645759177207943,0.010629767770885604,5,5
144000,gated,0.19785952633619305,0.024224451831358972,5,5
156000,gated,0.19925610039631522,0.018954489200065767,5,5
168000,gated,0.20295681164662036,0.022412859050048844,5,5
180000,gated,0.20682117158174512,0.020784979304110236,5,5
192000,gated,0.2047978225946426,0.019096533309498894,5,5
204000,gated,0.20963828798135115,0.018532234767364895,5,5
216000,gated,0.20994362481435136,0.01584565927680308,5,5
228000,gated,0.21726049260298405,0.012332544573041792,5,5
240000,gated,0.21677542082468665,0.012205088983813825,5,5
252000,gated,0.22306576895713803,0.01771205591165523,5,5
264000,gated,0.221733447710673,0.028042509116828006,5,5
276000,gated,0.22779027299086246,0.038471312607043597,5,5
288000,gated,0.23111996382474898,0.041706864740139175,5,5
300000,gated,0.23249926686286923,0.048985340148934416,5,5
312000,gated,0.25043462471167244,0.053553754945558106,5,5
324000,gated,0.2549792281389236,0.048256996352346176,5,5
336000,gated,0.2636315908829371,0.06528598117649272,5,5
348000,gated,0.2786663156350454,0.07870181397818944,5,5
360000,gated,0.27093067077795663,0.0853500968509385,5,5
372000,gated,0.2691318068901697,0.09329788701702925,5,5
384000,gated,0.2806810113191604,0.11216545823549247,5,5
396000,gated,0.27385914546251294,0.11230065005031656,5,5
408000,gated,0.2812263847192128,0.12330361510501554,5,5
420000,gated,0.2977335568666458,0.11974010821430843,5,5
432000,gated,0.3065019552707672,0.14239980086430187,5,5
444000,gated,0.3304555929104487,0.1655178961518677,5,5
456000,gated,0.3408644703626632,0.1537973677878479,5,5
468000,gated,0.34562036399046575,0.1636074287677084,5,5
480000,gated,0.3554796852668126,0.16971956884393083,5,5
492000,gated,0.3665161023537317,0.20584839203128338,5,5
504000,gated,0.38148305936654403,0.21685191304148618,5,5
516000,gated,0.3893275760610898,0.22855969187679576,5,5
528000,gated,0.4118968684871992,0.23012249939564422,5,5
540000,gated,0.40669891913731887,0.22835973956367278,5,5
552000,gated,0.4204818863471349,0.2502855292071323,5,5
564000,gated,0.43966015358765914,0.2521394240402714,5,5
576000,gated,0.42908437053362525,0.261204301927886,5,5
588000,gated,0.4405734885136286,0.257504841107186,5,5
600000,gated,0.45209232886632283,0.2793025951569413,5,5
6000,attention,0.030414306258161845,0.00802963988229291,5,5
12000,attention,0.05298603707055248,0.01846367899473938,5,5
24000,attention,0.06833831109603243,0.01337289067425139,5,5
36000,attention,0.07632763816912966,0.01908032696992069,5,5
48000,attention,0.08661698408921556,0.025878878666038607,5,5
60000,attention,0.08684921634197229,0.024762995555486438,5,5
72000,attention,0.09075671824812885,0.029756273279373704,5,5
84000,attention,0.09397936737537378,0.025097999283424426,5,5
96000,attention,0.09351298830906547,0.02783825213623773,5,5
108000,attention,0.08350599349538479,0.029629652672388002,5,5
120000,attention,0.09853596940636633,0.03642746406004825,5,5
132000,attention,0.11171045684814448,0.04326271301798703,5,5
144000,attention,0.10860249768694241,0.049244189769765495,5,5
156000,attention,0.11016916694243743,0.048324396527853385,5,5
168000,attention,0.10690022613604859,0.04464813436698842,5,5
180000,attention,0.10767626164356862,0.041581435708774935,5,5
192000,attention,0.1095743317008018,0.03191461768335721,5,5
204000,attention,0.10737121344606079,0.03700338507261173,5,5
216000,attention,0.11691083861390747,0.044870839682851875,5,5
228000,attention,0.12097163829207418,0.054707437706286555,5,5
240000,attention,0.1299276699324448,0.0639130971070768,5,5
252000,attention,0.13016964806119596,0.06630295008125354,5,5
264000,attention,0.13450055771072703,0.07685739197176913,5,5
276000,attention,0.1410250131090482,0.07021890297844759,5,5
288000,attention,0.14685918639103568,0.06233536694742931,5,5
300000,attention,0.14107603259881335,0.04663562403950857,5,5
312000,attention,0.14405842675765354,0.04491353939722039,5,5
324000,attention,0.14553755907217658,0.053756329715036244,5,5
336000,attention,0.14296583125988638,0.05043924392318418,5,5
348000,attention,0.155950023929278,0.04172069006257059,5,5
360000,attention,0.16798069695631657,0.03855675566940991,5,5
372000,attention,0.18283019187053043,0.05266770587131689,5,5
384000,attention,0.19254574263095853,0.05887690393412449,5,5
396000,attention,0.19371511260668434,0.06250613062028094,5,5
408000,attention,0.2018787300785382,0.06521599317160401,5,5
420000,attention,0.22092794388532636,0.08297951196772212,5,5
432000,attention,0.23566004973649973,0.1097094198219741,5,5
444000,attention,0.23776165817181263,0.12559753845582008,5,5
456000,attention,0.24793520541985825,0.13518660611056021,5,5
468000,attention,0.25488448154926296,0.1575177998884351,5,5
480000,attention,0.2649499764641126,0.16801475763855825,5,5
492000,attention,0.2626027341087659,0.1716956492853259,5,5
504000,attention,0.28041414070129395,0.18674965074572292,5,5
516000,attention,0.28422958101828893,0.2131549127084537,5,5
528000,attention,0.29041720422108963,0.21182222671333667,5,5
540000,attention,0.29675211984912553,0.2196738939181997,5,5
552000,attention,0.31056206887960436,0.24191768520380622,5,5
564000,attention,0.31932490228613214,0.251375526673741,5,5
576000,attention,0.3183129559854666,0.24295264478275488,5,5
588000,attention,0.3467781352003415,0.26705897458835953,5,5
600000,attention,0.34142780421177543,0.266800423565189,5,5
6000,graph,0.030645528952280638,0.0103971654642915,5,5
12000,graph,0.05244831862052276,0.01781272859336892,5,5
24000,graph,0.07089407469828918,0.02019410777112324,5,5
36000,graph,0.07908257728815075,0.022264110698108065,5,5
48000,graph,0.08591958827773724,0.027133426844997897,5,5
60000,graph,0.08432127814491586,0.02244804783239566,5,5
72000,graph,0.08702369560798004,0.016833435548605436,5,5
84000,graph,0.09892679347594575,0.02351078771328788,5,5
96000,graph,0.0987324918210506,0.024003246969568997,5,5
108000,graph,0.09736545919378593,0.028422015638303398,5,5
120000,graph,0.10681272291143729,0.02708029001032626,5,5
132000,graph,0.11389420245091116,0.03281580890241681,5,5
144000,graph,0.11854340647657709,0.031816679256942274,5,5
156000,graph,0.12301480738321935,0.023017113600271574,5,5
168000,graph,0.11680599824587501,0.03182208572812985,5,5
180000,graph,0.11709275106588994,0.02556572215524315,5,5
192000,graph,0.1310582771301269,0.029886420075431956,5,5
204000,graph,0.13874358508984247,0.03844757474637783,5,5
216000,graph,0.14199104877312974,0.041485061754443255,5,5
228000,graph,0.1452785890102386,0.04069525484136695,5,5
240000,graph,0.14784465082486467,0.03575932110609234,5,5
252000,graph,0.14338353804747256,0.03759746093220354,5,5
264000,graph,0.15428624935944868,0.04222223036558926,5,5
